State,Year,Quarter,Revenue
Arizona,2019,Q3,
Arizona,2020,CY,
Arizona,2020,Q2,
Arizona,2020,Q3,
Arizona,2020,Q4,
Arizona,2021,CY,121200000.0
Arizona,2021,Q1,
Arizona,2021,Q2,
Arizona,2021,Q3,
Arizona,2021,Q4,121200000.0
Arizona,2022,CY,427400000.0
Arizona,2022,Q1,175200000.0
Arizona,2022,Q2,86600000.0
Arizona,2022,Q3,59800000.0
Arizona,2022,Q4,105400000.0
Arizona,2023,CY,560100000.0
Arizona,2023,Q1,82900000.0
Arizona,2023,Q2,98600000.0
Arizona,2023,Q3,
Arizona,2023,Q4,166900000.0
Arizona,2024,Q1,
Arizona,2024,Q2,
Arizona,2024,Q3,
Arkansas,2019,Q3,103690000.0
Arkansas,2020,CY,355500000.0
Arkansas,2020,Q2,41100000.0
Arkansas,2020,Q3,104000000.0
Arkansas,2020,Q4,104900000.0
Arkansas,2021,CY,564800000.0
Arkansas,2021,Q1,130300000.0
Arkansas,2021,Q2,152100000.0
Arkansas,2021,Q3,138600000.0
Arkansas,2021,Q4,143800000.0
Arkansas,2022,CY,614100000.0
Arkansas,2022,Q1,147400000.0
Arkansas,2022,Q2,153000000.0
Arkansas,2022,Q3,156900000.0
Arkansas,2022,Q4,156800000.0
Arkansas,2023,CY,686600000.0
Arkansas,2023,Q1,177000000.0
Arkansas,2023,Q2,169400000.0
Arkansas,2023,Q3,170200000.0
Arkansas,2023,Q4,170000000.0
Arkansas,2024,Q1,177800000.0
Arkansas,2024,Q2,188700000.0
Arkansas,2024,Q3,174500000.0
Colorado,2019,Q3,222880000.0
Colorado,2020,CY,636100000.0
Colorado,2020,Q2,37800000.0
Colorado,2020,Q3,206700000.0
Colorado,2020,Q4,226500000.0
Colorado,2021,CY,1226300000.0
Colorado,2021,Q1,254200000.0
Colorado,2021,Q2,307000000.0
Colorado,2021,Q3,323500000.0
Colorado,2021,Q4,341600000.0
Colorado,2022,CY,1411900000.0
Colorado,2022,Q1,324600000.0
Colorado,2022,Q2,321400000.0
Colorado,2022,Q3,389700000.0
Colorado,2022,Q4,376200000.0
Colorado,2023,CY,1480200000.0
Colorado,2023,Q1,367300000.0
Colorado,2023,Q2,349200000.0
Colorado,2023,Q3,383000000.0
Colorado,2023,Q4,380700000.0
Colorado,2024,Q1,391300000.0
Colorado,2024,Q2,388100000.0
Colorado,2024,Q3,411300000.0
Connecticut,2019,Q3,
Connecticut,2020,CY,
Connecticut,2020,Q2,
Connecticut,2020,Q3,
Connecticut,2020,Q4,
Connecticut,2021,CY,78500000.0
Connecticut,2021,Q1,
Connecticut,2021,Q2,
Connecticut,2021,Q3,
Connecticut,2021,Q4,78500000.0
Connecticut,2022,CY,416200000.0
Connecticut,2022,Q1,93000000.0
Connecticut,2022,Q2,89900000.0
Connecticut,2022,Q3,102000000.0
Connecticut,2022,Q4,131200000.0
Connecticut,2023,CY,579900000.0
Connecticut,2023,Q1,138800000.0
Connecticut,2023,Q2,133100000.0
Connecticut,2023,Q3,134400000.0
Connecticut,2023,Q4,173500000.0
Connecticut,2024,Q1,184800000.0
Connecticut,2024,Q2,177500000.0
Connecticut,2024,Q3,185500000.0
Delaware,2019,Q3,114020000.0
Delaware,2020,CY,340300000.0
Delaware,2020,Q2,39700000.0
Delaware,2020,Q3,96700000.0
Delaware,2020,Q4,106900000.0
Delaware,2021,CY,483200000.0
Delaware,2021,Q1,113000000.0
Delaware,2021,Q2,123200000.0
Delaware,2021,Q3,120100000.0
Delaware,2021,Q4,126900000.0
Delaware,2022,CY,491800000.0
Delaware,2022,Q1,122000000.0
Delaware,2022,Q2,129900000.0
Delaware,2022,Q3,118500000.0
Delaware,2022,Q4,119500000.0
Delaware,2023,CY,502500000.0
Delaware,2023,Q1,129600000.0
Delaware,2023,Q2,129100000.0
Delaware,2023,Q3,114000000.0
Delaware,2023,Q4,129800000.0
