State,Year,Quarter,Revenue
Arizona,2020,CY,
Arizona,2021,CY,121200000.0
Arizona,2022,CY,427400000.0
Arizona,2023,CY,560100000.0
Arkansas,2020,CY,355500000.0
Arkansas,2021,CY,564800000.0
Arkansas,2022,CY,614100000.0
Arkansas,2023,CY,686600000.0
Colorado,2020,CY,636100000.0
Colorado,2021,CY,1226300000.0
Colorado,2022,CY,1411900000.0
Colorado,2023,CY,1480200000.0
Connecticut,2020,CY,
Connecticut,2021,CY,78500000.0
Connecticut,2022,CY,416200000.0
Connecticut,2023,CY,579900000.0
Delaware,2020,CY,340300000.0
Delaware,2021,CY,483200000.0
Delaware,2022,CY,491800000.0
Delaware,2023,CY,502500000.0
District of Columbia,2020,CY,13500000.0
District of Columbia,2021,CY,26800000.0
District of Columbia,2022,CY,23700000.0
District of Columbia,2023,CY,19000000.0
Florida,2020,CY,341300000.0
Florida,2021,CY,649500000.0
Florida,2022,CY,694000000.0
Florida,2023,CY,609900000.0
Illinois,2020,CY,743800000.0
Illinois,2021,CY,1712400000.0
Illinois,2022,CY,2143700000.0
Illinois,2023,CY,2525800000.0
Indiana,2020,CY,
Indiana,2021,CY,2725000000.0
Indiana,2022,CY,2890400000.0
Indiana,2023,CY,2822500000.0
Iowa,2020,CY,
Iowa,2021,CY,1861300000.0
Iowa,2022,CY,1930800000.0
Iowa,2023,CY,1946100000.0
Kansas,2020,CY,299600000.0
Kansas,2021,CY,403600000.0
Kansas,2022,CY,478100000.0
Kansas,2023,CY,588300000.0
Kentucky,2020,CY,
Kentucky,2021,CY,
Kentucky,2022,CY,
Kentucky,2023,CY,112100000.0
Louisiana,2020,CY,
Louisiana,2021,CY,2380100000.0
Louisiana,2022,CY,2593100000.0
Louisiana,2023,CY,2696800000.0
Maine,2020,CY,71400000.0
Maine,2021,CY,146900000.0
Maine,2022,CY,165100000.0
Maine,2023,CY,175100000.0
Maryland,2020,CY,
Maryland,2021,CY,1925600000.0
Maryland,2022,CY,2200600000.0
Maryland,2023,CY,2496800000.0
Massachusetts,2020,CY,551900000.0
Massachusetts,2021,CY,1020800000.0
Massachusetts,2022,CY,1131900000.0
Massachusetts,2023,CY,1667700000.0
Michigan,2020,CY,638700000.0
Michigan,2021,CY,2700300000.0
Michigan,2022,CY,3258100000.0
Michigan,2023,CY,3581100000.0
Mississippi,2020,CY,
Mississippi,2021,CY,2669200000.0
Mississippi,2022,CY,2574100000.0
Mississippi,2023,CY,2482800000.0
Missouri,2020,CY,
Missouri,2021,CY,1896600000.0
Missouri,2022,CY,1905500000.0
Missouri,2023,CY,1921100000.0
Montana,2020,CY,2200000.0
Montana,2021,CY,6400000.0
Montana,2022,CY,7200000.0
Montana,2023,CY,8200000.0
Nebraska,2020,CY,
Nebraska,2021,CY,
Nebraska,2022,CY,14000000.0
Nebraska,2023,CY,89100000.0
Nevada,2020,CY,
Nevada,2021,CY,13430900000.0
Nevada,2022,CY,14842100000.0
Nevada,2023,CY,15522500000.0
New Hampshire,2020,CY,23600000.0
New Hampshire,2021,CY,43800000.0
New Hampshire,2022,CY,66700000.0
New Hampshire,2023,CY,80300000.0
New Jersey,2020,CY,
New Jersey,2021,CY,4737200000.0
New Jersey,2022,CY,5211300000.0
New Jersey,2023,CY,5778300000.0
New Mexico,2020,CY,51800000.0
New Mexico,2021,CY,217500000.0
New Mexico,2022,CY,262000000.0
New Mexico,2023,CY,270900000.0
New York,2020,CY,
New York,2021,CY,2712900000.0
New York,2022,CY,4228500000.0
New York,2023,CY,4719900000.0
North Carolina,2020,CY,
North Carolina,2021,CY,
North Carolina,2022,CY,
North Carolina,2023,CY,
Ohio,2020,CY,
Ohio,2021,CY,2310300000.0
Ohio,2022,CY,2332800000.0
Ohio,2023,CY,3319400000.0
Oklahoma,2020,CY,101700000.0
Oklahoma,2021,CY,145800000.0
Oklahoma,2022,CY,150900000.0
Oklahoma,2023,CY,151400000.0
Oregon,2020,CY,20100000.0
Oregon,2021,CY,30400000.0
Oregon,2022,CY,49500000.0
Oregon,2023,CY,64300000.0
Pennsylvania,2020,CY,
Pennsylvania,2021,CY,4830800000.0
Pennsylvania,2022,CY,5343100000.0
Pennsylvania,2023,CY,5863600000.0
Rhode Island,2020,CY,326200000.0
Rhode Island,2021,CY,594100000.0
Rhode Island,2022,CY,688200000.0
Rhode Island,2023,CY,707500000.0
South Dakota,2020,CY,105300000.0
South Dakota,2021,CY,146100000.0
South Dakota,2022,CY,142900000.0
South Dakota,2023,CY,147600000.0
Tennessee,2020,CY,27100000.0
Tennessee,2021,CY,239800000.0
Tennessee,2022,CY,379400000.0
Tennessee,2023,CY,459300000.0
United States,2020,CY,
United States,2021,CY,52985500000.0
United States,2022,CY,60416100000.0
United States,2023,CY,68652000000.0
Vermont,2020,CY,
Vermont,2021,CY,
Vermont,2022,CY,
Vermont,2023,CY,
Virginia,2020,CY,
Virginia,2021,CY,285900000.0
Virginia,2022,CY,563200000.0
Virginia,2023,CY,1115100000.0
West Virginia,2020,CY,434200000.0
West Virginia,2021,CY,658500000.0
West Virginia,2022,CY,769200000.0
West Virginia,2023,CY,801800000.0
Wyoming,2020,CY,
Wyoming,2021,CY,4000000.0
Wyoming,2022,CY,14800000.0
Wyoming,2023,CY,17300000.0
