STATECODE,DIV,YEAR,StateCaseNumYearly,State
1,6,2012,700,Alabama
1,6,2013,692,Alabama
1,6,2014,8000,Alabama
1,6,2015,30799,Alabama
1,6,2016,31991,Alabama
1,6,2017,31576,Alabama
1,6,2018,30458,Alabama
1,6,2019,17237,Alabama
1,6,2020,12906,Alabama
1,6,2021,19356,Alabama
1,6,2022,22383,Alabama
2,8,2012,16288,Arizona
2,8,2013,16262,Arizona
2,8,2014,16137,Arizona
2,8,2015,18119,Arizona
2,8,2016,18623,Arizona
2,8,2017,20902,Arizona
2,8,2018,20284,Arizona
2,8,2019,19592,Arizona
2,8,2020,18457,Arizona
2,8,2021,11171,Arizona
2,8,2022,13028,Arizona
3,7,2012,22871,Arkansas
3,7,2013,21941,Arkansas
3,7,2014,22004,Arkansas
3,7,2015,23260,Arkansas
3,7,2016,25509,Arkansas
3,7,2017,25227,Arkansas
3,7,2018,25333,Arkansas
3,7,2019,24905,Arkansas
3,7,2020,22696,Arkansas
3,7,2021,23396,Arkansas
3,7,2022,18325,Arkansas
4,9,2012,122841,California
4,9,2013,121922,California
4,9,2014,121535,California
4,9,2015,120253,California
4,9,2016,119203,California
4,9,2017,120953,California
4,9,2018,119335,California
4,9,2019,117232,California
4,9,2020,110257,California
4,9,2021,19360,California
4,9,2022,92613,California
5,8,2012,21172,Colorado
5,8,2013,20254,Colorado
5,8,2014,20452,Colorado
5,8,2015,21763,Colorado
5,8,2016,21814,Colorado
5,8,2017,22532,Colorado
5,8,2018,22430,Colorado
5,8,2019,21337,Colorado
5,8,2020,19658,Colorado
5,8,2021,21026,Colorado
5,8,2022,17372,Colorado
6,1,2012,14713,Connecticut
6,1,2013,14387,Connecticut
6,1,2014,14612,Connecticut
6,1,2015,14349,Connecticut
6,1,2016,14881,Connecticut
6,1,2017,14898,Connecticut
6,1,2018,14353,Connecticut
6,1,2019,13740,Connecticut
6,1,2020,11886,Connecticut
6,1,2021,11718,Connecticut
6,1,2022,9995,Connecticut
7,5,2012,6125,Delaware
7,5,2013,6056,Delaware
7,5,2014,6005,Delaware
7,5,2015,6059,Delaware
7,5,2016,5899,Delaware
7,5,2017,5751,Delaware
7,5,2018,5485,Delaware
7,5,2019,5376,Delaware
7,5,2020,4687,Delaware
7,5,2021,4824,Delaware
7,5,2022,4075,Delaware
8,5,2012,207,District of Columbia
8,5,2013,248,District of Columbia
8,5,2014,252,District of Columbia
8,5,2015,244,District of Columbia
8,5,2016,269,District of Columbia
8,5,2017,253,District of Columbia
8,5,2018,261,District of Columbia
8,5,2019,251,District of Columbia
8,5,2020,213,District of Columbia
8,5,2021,345,District of Columbia
8,5,2022,495,District of Columbia
9,5,2012,1156,Florida
9,5,2013,1165,Florida
9,5,2014,1169,Florida
9,5,2015,1204,Florida
9,5,2016,1204,Florida
9,5,2017,6560,Florida
9,5,2018,1150,Florida
9,5,2019,7270,Florida
9,5,2020,11715,Florida
9,5,2021,5448,Florida
9,5,2022,9732,Florida
10,5,2012,56698,Georgia
