State,Year,Month,Date,Revenue
Arkansas,2019,YTD Total,,322419477.0
Arkansas,2020,YTD Total,,258005203.0
Arkansas,2021,YTD Total,,543396375.0
Arkansas,2022,YTD Total,,613415249.0
Arkansas,2023,YTD Total,,686605555.0
Arkansas,2024,YTD Total,,530984848.0
Colorado,2012,YTD Total,,766254008.0
Colorado,2013,YTD Total,,748707912.0
Colorado,2014,YTD Total,,790078238.0
Colorado,2015,YTD Total,,790078238.0
Colorado,2016,YTD Total,,810793527.0
Colorado,2017,YTD Total,,828054920.0
Colorado,2018,YTD Total,,842103912.0
Colorado,2019,YTD Total,,833668376.0
Colorado,2020,YTD Total,,636075328.0
Colorado,2021,YTD Total,,1226245467.0
Colorado,2022,YTD Total,,1411710339.0
Colorado,2023,YTD Total,,1480093645.0
Colorado,2024,YTD Total,,1190808285.0
Delaware,2012,YTD Total,,523907852.0
Delaware,2013,YTD Total,,437188275.0
Delaware,2014,YTD Total,,410489052.0
Delaware,2015,YTD Total,,410489052.0
Delaware,2016,YTD Total,,402723287.0
Delaware,2017,YTD Total,,416493493.0
Delaware,2018,YTD Total,,419245699.0
Delaware,2019,YTD Total,,437446189.0
Delaware,2020,YTD Total,,321472554.0
Delaware,2021,YTD Total,,471457727.0
Delaware,2022,YTD Total,,498522093.0
Delaware,2023,YTD Total,,511953026.0
Delaware,2024,YTD Total,,407438712.0
Florida,2012,YTD Total,,427878835.0
Florida,2013,YTD Total,,467591461.0
Florida,2014,YTD Total,,530658973.0
Florida,2015,YTD Total,,530658973.0
Florida,2016,YTD Total,,545954811.0
Florida,2017,YTD Total,,546589646.0
Florida,2018,YTD Total,,569015684.0
Florida,2019,YTD Total,,574733250.0
Florida,2020,YTD Total,,341319859.0
Florida,2021,YTD Total,,649472056.0
Florida,2022,YTD Total,,693967330.0
Florida,2023,YTD Total,,690887190.0
Florida,2024,YTD Total,,519418022.0
Illinois,2012,YTD Total,,1649657783.0
Illinois,2013,YTD Total,,1853896054.0
Illinois,2014,YTD Total,,2352428663.0
Illinois,2015,YTD Total,,2352428663.0
Illinois,2016,YTD Total,,2522560602.0
Illinois,2017,YTD Total,,2710670446.0
Illinois,2018,YTD Total,,2874815549.0
Illinois,2019,YTD Total,,3031016959.0
Illinois,2020,YTD Total,,1830235452.0
Illinois,2021,YTD Total,,4153488454.0
Illinois,2022,YTD Total,,4853841220.0
Illinois,2023,YTD Total,,5408064531.0
Illinois,2024,YTD Total,,4350685036.0
Indiana,2012,YTD Total,,2613858764.0
Indiana,2013,YTD Total,,2331654251.0
Indiana,2014,YTD Total,,2141883658.0
Indiana,2015,YTD Total,,2141883658.0
Indiana,2016,YTD Total,,2124776652.0
Indiana,2017,YTD Total,,2153492417.0
Indiana,2018,YTD Total,,2151434459.0
Indiana,2019,YTD Total,,2159905917.0
Indiana,2020,YTD Total,,1624585974.0
Indiana,2021,YTD Total,,2655906636.0
Indiana,2022,YTD Total,,2772464224.0
Indiana,2023,YTD Total,,2706831776.0
Indiana,2024,YTD Total,,2097597026.0
Iowa,2012,YTD Total,,1466756573.0
Iowa,2013,YTD Total,,1416716726.0
Iowa,2014,YTD Total,,1424351539.0
Iowa,2015,YTD Total,,1424351539.0
Iowa,2016,YTD Total,,1446163900.0
Iowa,2017,YTD Total,,1462924028.0
Iowa,2018,YTD Total,,1467332138.0
Iowa,2019,YTD Total,,1482911518.0
Iowa,2020,YTD Total,,1168867593.0
Iowa,2021,YTD Total,,1863330721.0
Iowa,2022,YTD Total,,1932150061.0
Iowa,2023,YTD Total,,2041982673.0
Iowa,2024,YTD Total,,1434961583.0
Kansas,2012,YTD Total,,341145534.0
Kansas,2013,YTD Total,,365079337.0
Kansas,2014,YTD Total,,367783293.0
Kansas,2015,YTD Total,,367783293.0
Kansas,2016,YTD Total,,364326669.0
Kansas,2017,YTD Total,,381454501.0
Kansas,2018,YTD Total,,408640789.0
Kansas,2019,YTD Total,,416172056.0
Kansas,2020,YTD Total,,299586805.0
Kansas,2021,YTD Total,,415817845.0
Kansas,2022,YTD Total,,422633107.0
Kansas,2023,YTD Total,,506265631.0
Kansas,2024,YTD Total,,397417349.0
Louisiana,2012,YTD Total,,3014674810.0
Louisiana,2013,YTD Total,,3042409492.0
Louisiana,2014,YTD Total,,3242009383.0
Louisiana,2015,YTD Total,,3242009383.0
Louisiana,2016,YTD Total,,3098450646.0
Louisiana,2017,YTD Total,,3138297472.0
Louisiana,2018,YTD Total,,3157206060.0
Louisiana,2019,YTD Total,,3083657458.0
Louisiana,2020,YTD Total,,2204844135.0
Louisiana,2021,YTD Total,,3217612406.0
Louisiana,2022,YTD Total,,3377168807.0
Louisiana,2023,YTD Total,,3454431931.0
Louisiana,2024,YTD Total,,2565905191.0
Maine,2012,YTD Total,,99223431.0
Maine,2013,YTD Total,,126274373.0
Maine,2014,YTD Total,,129807457.0
Maine,2015,YTD Total,,129807457.0
Maine,2016,YTD Total,,133121606.0
Maine,2017,YTD Total,,136708967.0
Maine,2018,YTD Total,,143733223.0
Maine,2019,YTD Total,,145189299.0
Maine,2020,YTD Total,,71298566.0
Maine,2021,YTD Total,,147240218.0
Maine,2022,YTD Total,,165083231.0
Maine,2023,YTD Total,,176949983.0
Maine,2024,YTD Total,,162449979.0
Maryland,2012,YTD Total,,377813543.0
Maryland,2013,YTD Total,,746914266.0
Maryland,2014,YTD Total,,1098426147.0
Maryland,2015,YTD Total,,1098426147.0
Maryland,2016,YTD Total,,1203287149.0
Maryland,2017,YTD Total,,1614336584.0
Maryland,2018,YTD Total,,1746364081.0
Maryland,2019,YTD Total,,1757055709.0
Maryland,2020,YTD Total,,1225915686.0
Maryland,2021,YTD Total,,1925515052.0
Maryland,2022,YTD Total,,2053498359.0
Maryland,2023,YTD Total,,2290463407.0
Maryland,2024,YTD Total,,1872652656.0
Massachusetts,2015,YTD Total,,88230548.03
Massachusetts,2016,YTD Total,,155041917.6
Massachusetts,2017,YTD Total,,164786230.0
Massachusetts,2018,YTD Total,,273072584.0
Massachusetts,2019,YTD Total,,718165491.0
Massachusetts,2020,YTD Total,,551935743.0
Massachusetts,2021,YTD Total,,1009859776.0
Massachusetts,2022,YTD Total,,1131925432.0
Massachusetts,2023,YTD Total,,1191202721.0
Massachusetts,2024,YTD Total,,901188284.0
Michigan,2012,YTD Total,,1416734426.0
