State,Year,Month,Date,Revenue,Handle,Hold,Taxes
Arizona,2021,9,2021-09-01,32308342.0,291212868.0,0.111,31393.0
Arizona,2021,10,2021-10-01,37510371.0,486097352.0,0.077,1022841.0
Arizona,2021,11,2021-11-01,51416143.0,466725687.0,0.11,3177148.0
Arizona,2021,12,2021-12-01,39822928.0,499213733.0,0.08,1723902.0
Arizona,2022,1,2022-01-01,41890200.0,563694591.0,0.074,1952971.0
Arizona,2022,2,2022-02-01,25629835.0,491665554.0,0.052,670686.0
Arizona,2022,3,2022-03-01,38898393.0,690979294.0,0.056,1864457.0
Arizona,2022,4,2022-04-01,30441992.0,512877848.0,0.059,1647450.0
Arizona,2022,5,2022-05-01,56193286.0,461450688.0,0.122,4125125.0
Arizona,2022,6,2022-06-01,12601356.0,318774198.0,0.04,766831.0
Arizona,2022,7,2022-07-01,22684581.0,290511533.0,0.078,1496427.0
Arizona,2022,8,2022-08-01,37161759.0,361008835.0,0.103,2767590.0
Arizona,2022,9,2022-09-01,56428816.0,537966149.0,0.105,3058838.0
Arizona,2022,10,2022-10-01,49392417.0,618570296.0,0.08,2963716.0
Arizona,2022,11,2022-11-01,56028195.0,616855045.0,0.091,3876208.0
Arizona,2022,12,2022-12-01,55581725.0,572490899.0,0.097,3724395.0
Arizona,2023,1,2023-01-01,47486817.0,591220794.0,0.08,2886502.0
Arizona,2023,2,2023-02-01,35412452.0,609278096.0,0.058,1609581.0
Arizona,2023,3,2023-03-01,53523947.0,644763991.0,0.083,3704268.0
Arizona,2023,4,2023-04-01,49163323.0,535712027.0,0.092,3429846.0
Arizona,2023,5,2023-05-01,49458507.0,451717025.0,0.109,3376059.0
Arizona,2023,6,2023-06-01,28331608.0,393198858.0,0.072,1633356.0
Arizona,2023,7,2023-07-01,35343495.0,323211485.0,0.109,2678598.0
Arizona,2023,8,2023-08-01,31681151.0,358875474.0,0.088,2128096.0
Arizona,2023,9,2023-09-01,60115066.0,610716285.0,0.098,3243222.0
Arizona,2023,10,2023-10-01,56868981.0,648208573.0,0.088,3287799.0
Arizona,2023,11,2023-11-01,42333282.0,713586704.0,0.059,2023887.0
Arizona,2023,12,2023-12-01,67697686.0,693310960.0,0.098,4817325.0
Arizona,2024,1,2024-01-01,70943718.0,706382861.0,0.1,4610005.0
Arizona,2024,2,2024-02-01,54329589.0,637485879.0,0.085,2788885.0
Arizona,2024,3,2024-03-01,59289055.0,759807633.0,0.078,3784200.0
Arizona,2024,4,2024-04-01,64489906.0,656322666.0,0.098,4328378.0
Arizona,2024,5,2024-05-01,62444214.0,568493315.0,0.11,4307143.0
Arizona,2024,6,2024-06-01,47269458.0,454116117.0,0.104,3157087.0
Arizona,2024,7,2024-07-01,42514638.0,410140440.0,0.104,2896319.0
Arizona,2024,8,2024-08-01,37071285.0,496602562.0,0.075,2239781.0
Arkansas,2019,7,2019-07-01,76885.0,416160.0,0.185,9995.0
Arkansas,2019,8,2019-08-01,58858.0,778249.0,0.076,7652.0
Arkansas,2019,9,2019-09-01,183044.0,2252196.0,0.081,23796.0
Arkansas,2019,10,2019-10-01,380006.0,2216369.0,0.171,49401.0
Arkansas,2019,11,2019-11-01,181497.0,2978235.0,0.061,23595.0
Arkansas,2019,12,2019-12-01,455368.0,2633806.0,0.173,59198.0
Arkansas,2020,1,2020-01-01,254811.0,2587732.0,0.098,33263.0
Arkansas,2020,2,2020-02-01,411589.0,4294366.0,0.096,67494.0
Arkansas,2020,3,2020-03-01,222373.0,1588403.0,0.14,38310.0
Arkansas,2020,4,2020-04-01,,,,
Arkansas,2020,5,2020-05-01,-115.0,509.0,-0.226,-15.0
Arkansas,2020,6,2020-06-01,10.0,1189.0,0.008,1.0
Arkansas,2020,7,2020-07-01,-19633.0,179315.0,-0.109,-2552.0
Arkansas,2020,8,2020-08-01,69625.0,1008992.0,0.069,9051.0
Arkansas,2020,9,2020-09-01,397095.0,3958748.0,0.1,51622.0
Arkansas,2020,10,2020-10-01,940513.0,6559859.0,0.143,122267.0
Arkansas,2020,11,2020-11-01,975984.0,6288249.0,0.155,126878.0
Arkansas,2020,12,2020-12-01,1054273.0,6415446.0,0.164,137055.0
Arkansas,2021,1,2021-01-01,1383240.0,7187194.0,0.192,180474.0
Arkansas,2021,2,2021-02-01,651239.0,4469442.0,0.146,92922.0
Arkansas,2021,3,2021-03-01,805182.0,5947427.0,0.135,130877.0
Arkansas,2021,4,2021-04-01,756328.0,4065703.0,0.186,131137.0
Arkansas,2021,5,2021-05-01,506142.0,3687207.0,0.137,81710.0
Arkansas,2021,6,2021-06-01,382940.0,3895683.0,0.098,59088.0
Arkansas,2021,7,2021-07-01,449040.0,2908833.0,0.154,58375.0
Arkansas,2021,8,2021-08-01,310481.0,2892285.0,0.107,40363.0
Arkansas,2021,9,2021-09-01,809404.0,7007774.0,0.116,105223.0
Arkansas,2021,10,2021-10-01,803567.0,9506183.0,0.085,104464.0
Arkansas,2021,11,2021-11-01,1623434.0,8380191.0,0.194,211047.0
Arkansas,2021,12,2021-12-01,130305.0,7794292.0,0.017,6188.0
Arkansas,2022,1,2022-01-01,1181335.0,8775932.0,0.135,153574.0
Arkansas,2022,2,2022-02-01,359103.0,5876444.0,0.061,61390.0
Arkansas,2022,3,2022-03-01,791867.0,10686501.0,0.074,119671.0
Arkansas,2022,4,2022-04-01,749810.0,8598226.0,0.087,120297.0
Arkansas,2022,5,2022-05-01,615576.0,10185647.0,0.06,117426.0
Arkansas,2022,6,2022-06-01,4045.0,12632207.0,,12598.0
Arkansas,2022,7,2022-07-01,854436.0,9290467.0,0.092,111077.0
Arkansas,2022,8,2022-08-01,1015339.0,10195911.0,0.1,131994.0
Arkansas,2022,9,2022-09-01,3208032.0,21185547.0,0.151,417044.0
Arkansas,2022,10,2022-10-01,2793719.0,26879107.0,0.104,363183.0
Arkansas,2022,11,2022-11-01,2999450.0,30576009.0,0.098,452393.0
Arkansas,2022,12,2022-12-01,3409972.0,30936485.0,0.11,449690.0
Arkansas,2023,1,2023-01-01,2868244.0,32976264.0,0.087,439379.0
Arkansas,2023,2,2023-02-01,1709714.0,29532263.0,0.058,254925.0
Arkansas,2023,3,2023-03-01,4264047.0,37474412.0,0.114,626042.0
Arkansas,2023,4,2023-04-01,2336023.0,25452659.0,0.092,349633.0
Arkansas,2023,5,2023-05-01,2293281.0,22777209.0,0.101,458656.0
Arkansas,2023,6,2023-06-01,1334973.0,22708945.0,0.059,266995.0
Arkansas,2023,7,2023-07-01,2077422.0,17577626.0,0.118,270065.0
Arkansas,2023,8,2023-08-01,1673538.0,22553214.0,0.074,217560.0
Arkansas,2023,9,2023-09-01,3992930.0,41002257.0,0.097,519081.0
Arkansas,2023,10,2023-10-01,5825161.0,44986803.0,0.129,757271.0
Arkansas,2023,11,2023-11-01,3018845.0,54770449.0,0.055,392450.0
Arkansas,2023,12,2023-12-01,5762757.0,52952226.0,0.109,783089.0
Arkansas,2024,1,2024-01-01,5855921.0,50698701.0,0.116,894654.0
Arkansas,2024,2,2024-02-01,2672209.0,40947811.0,0.065,413682.0
Arkansas,2024,3,2024-03-01,3406749.0,50031696.0,0.068,510490.0
Arkansas,2024,4,2024-04-01,3788712.0,41763742.0,0.091,568356.0
Arkansas,2024,5,2024-05-01,3556977.0,39823867.0,0.089,700934.0
Arkansas,2024,6,2024-06-01,3227769.0,31416492.0,0.103,645554.0
Arkansas,2024,7,2024-07-01,2677225.0,25464080.0,0.105,348039.0
Arkansas,2024,8,2024-08-01,1941927.0,32207497.0,0.06,252451.0
Arkansas,2024,9,2024-09-01,6918341.0,53056638.0,0.13,899384.0
Arkansas,2024,10,2024-10-01,3150162.0,60435368.0,0.052,409521.0
Colorado,2020,5,2020-05-01,2565729.0,25621762.0,0.1,96545.0
Colorado,2020,6,2020-06-01,3484015.0,38136949.0,0.091,217945.0
Colorado,2020,7,2020-07-01,5196599.0,59183620.0,0.088,239153.0
Colorado,2020,8,2020-08-01,7519599.0,128646209.0,0.058,189326.0
Colorado,2020,9,2020-09-01,4166334.0,207655943.0,0.02,69772.0
Colorado,2020,10,2020-10-01,17402409.0,210719821.0,0.083,806618.0
Colorado,2020,11,2020-11-01,18354655.0,231238842.0,0.079,780635.0
Colorado,2020,12,2020-12-01,17151867.0,284551472.0,0.06,531495.0
Colorado,2021,1,2021-01-01,23144535.0,326903462.0,0.071,1194690.0
Colorado,2021,2,2021-02-01,10444810.0,266549207.0,0.039,333976.0
Colorado,2021,3,2021-03-01,20365119.0,300990842.0,0.068,1061008.0
Colorado,2021,4,2021-04-01,17563939.0,244446760.0,0.072,1083812.0
Colorado,2021,5,2021-05-01,15129108.0,248968193.0,0.061,633896.0
Colorado,2021,6,2021-06-01,19730957.0,229764688.0,0.086,1186455.0
Colorado,2021,7,2021-07-01,15652461.0,181327995.0,0.086,999111.0
Colorado,2021,8,2021-08-01,15228343.0,211918185.0,0.072,728518.0
Colorado,2021,9,2021-09-01,22658630.0,408314625.0,0.055,483048.0
Colorado,2021,10,2021-10-01,28616708.0,491453342.0,0.058,1246804.0
Colorado,2021,11,2021-11-01,36781848.0,475441229.0,0.077,1981640.0
Colorado,2021,12,2021-12-01,24732487.0,461448574.0,0.054,770561.0
Colorado,2022,1,2022-01-01,34640219.0,573720213.0,0.06,1447952.0
Colorado,2022,2,2022-02-01,19604490.0,440508421.0,0.045,314731.0
Colorado,2022,3,2022-03-01,28238194.0,505611080.0,0.056,1313076.0
Colorado,2022,4,2022-04-01,22571887.0,392311737.0,0.058,1231742.0
Colorado,2022,5,2022-05-01,27119329.0,360325438.0,0.075,1659189.0
Colorado,2022,6,2022-06-01,6781092.0,313215081.0,0.022,268280.0
Colorado,2022,7,2022-07-01,20802881.0,258414808.0,0.081,1092182.0
Colorado,2022,8,2022-08-01,25859270.0,290107970.0,0.089,1822272.0
Colorado,2022,9,2022-09-01,51339659.0,450232597.0,0.114,2989342.0
Colorado,2022,10,2022-10-01,36514974.0,526619777.0,0.069,2330705.0
Colorado,2022,11,2022-11-01,37569022.0,552603013.0,0.068,2581533.0
Colorado,2022,12,2022-12-01,40909238.0,518088768.0,0.079,2583711.0
Colorado,2023,1,2023-01-01,35482562.0,547189025.0,0.065,2586457.0
Colorado,2023,2,2023-02-01,22599602.0,425142877.0,0.053,1257332.0
Colorado,2023,3,2023-03-01,45935669.0,494440210.0,0.093,3103024.0
Colorado,2023,4,2023-04-01,35148592.0,417814147.0,0.084,2582615.0
Colorado,2023,5,2023-05-01,31406903.0,385242136.0,0.082,2218084.0
Colorado,2023,6,2023-06-01,9223661.0,310656478.0,0.03,441951.0
Colorado,2023,7,2023-07-01,24962106.0,281110490.0,0.089,1778773.0
Colorado,2023,8,2023-08-01,25873058.0,306065791.0,0.085,1806025.0
Colorado,2023,9,2023-09-01,45276517.0,512792794.0,0.088,3126136.0
Colorado,2023,10,2023-10-01,46914492.0,554859801.0,0.085,3351482.0
Colorado,2023,11,2023-11-01,28585606.0,608488266.0,0.047,1489224.0
Colorado,2023,12,2023-12-01,40537499.0,716430270.0,0.057,3682335.0
Colorado,2024,1,2024-01-01,53490323.0,596685968.0,0.09,4128369.0
Colorado,2024,2,2024-02-01,25762378.0,536988261.0,0.048,1302174.0
Colorado,2024,3,2024-03-01,45041776.0,593094977.0,0.076,2852592.0
Colorado,2024,4,2024-04-01,32028036.0,509508228.0,0.063,1910656.0
Colorado,2024,5,2024-05-01,44991355.0,447561934.0,0.101,3206326.0
Colorado,2024,6,2024-06-01,28196297.0,350425610.0,0.08,1816861.0
Colorado,2024,7,2024-07-01,32548659.0,320396841.0,0.102,2369730.0
Colorado,2024,8,2024-08-01,33202184.0,372378664.0,0.089,2375443.0
Colorado,2024,9,2024-09-01,55092144.0,562923090.0,0.098,4049802.0
Connecticut,2021,10,2021-10-01,5567547.0,54641474.0,0.102,512951.0
Connecticut,2021,11,2021-11-01,17456823.0,131729179.0,0.133,1712136.0
Connecticut,2021,12,2021-12-01,10242899.0,150073755.0,0.068,929336.0
Connecticut,2022,1,2022-01-01,11891808.0,158092481.0,0.075,1142510.0
Connecticut,2022,2,2022-02-01,5844220.0,115619953.0,0.051,501516.0
Connecticut,2022,3,2022-03-01,11511388.0,140747137.0,0.082,1037570.0
Connecticut,2022,4,2022-04-01,10353842.0,116465199.0,0.089,988263.0
Connecticut,2022,5,2022-05-01,10308064.0,115180155.0,0.089,981304.0
Connecticut,2022,6,2022-06-01,7142610.0,95421852.0,0.075,669453.0
Connecticut,2022,7,2022-07-01,8611816.0,78316775.0,0.11,859094.0
Connecticut,2022,8,2022-08-01,10882317.0,80037045.0,0.136,1153125.0
Connecticut,2022,9,2022-09-01,17608762.0,130547719.0,0.135,1777391.0
Connecticut,2022,10,2022-10-01,17012667.0,164170106.0,0.104,1736473.0
