STATECODE,DIV,State,Year,Population,StateCaseNumYearly,CrimeRate
1,6,Alabama,2012,4815588,700,0.000145361272600563
1,6,Alabama,2013,4830081,692,0.0001432688188873023
1,6,Alabama,2014,4841799,8000,0.0016522784196535214
1,6,Alabama,2015,4852347,30799,0.0063472377387684764
1,6,Alabama,2016,4863525,31991,0.006577739396836656
1,6,Alabama,2017,4874486,31576,0.006477811198965388
1,6,Alabama,2018,4887681,30458,0.006231585080941248
1,6,Alabama,2019,4903185,17237,0.0035154700465105846
1,6,Alabama,2020,5031864,12906,0.0025648546940060385
1,6,Alabama,2021,5050380,19356,0.003832582894752474
1,6,Alabama,2022,5073903,22383,0.004411396906878196
2,8,Arizona,2012,6554978,16288,0.002484829087145678
2,8,Arizona,2013,6632764,16262,0.0024517682221167525
2,8,Arizona,2014,6730413,16137,0.002397624038821986
2,8,Arizona,2015,6829676,18119,0.0026529809027543913
2,8,Arizona,2016,6941072,18623,0.0026830149579200446
2,8,Arizona,2017,7044008,20902,0.0029673447276039435
2,8,Arizona,2018,7158024,20284,0.002833742943583313
2,8,Arizona,2019,7278717,19592,0.0026916831633926695
2,8,Arizona,2020,7186683,18457,0.0025682223635020494
2,8,Arizona,2021,7272487,11171,0.0015360632476895456
2,8,Arizona,2022,7365684,13028,0.0017687427264053142
3,7,Arkansas,2012,2952164,22871,0.007747198326380242
3,7,Arkansas,2013,2959400,21941,0.007414002838413192
3,7,Arkansas,2014,2967392,22004,0.007415265660890101
3,7,Arkansas,2015,2978048,23260,0.007810485257457233
3,7,Arkansas,2016,2989918,25509,0.008531672106057759
3,7,Arkansas,2017,3001345,25227,0.008405231654474911
3,7,Arkansas,2018,3009733,25333,0.008417025696299306
3,7,Arkansas,2019,3017804,24905,0.008252689704168991
3,7,Arkansas,2020,3014348,22696,0.0075293230907645696
3,7,Arkansas,2021,3028443,23396,0.0077254219412417535
3,7,Arkansas,2022,3046404,18325,0.006015288845471579
4,9,California,2012,37948800,122841,0.0032370193523905896
4,9,California,2013,38260787,121922,0.0031866046038206168
4,9,California,2014,38596972,121535,0.003148822140762752
4,9,California,2015,38918045,120253,0.0030899034111297216
4,9,California,2016,39167117,119203,0.0030434458579118805
4,9,California,2017,39358497,120953,0.0030731102358913754
4,9,California,2018,39461588,119335,0.0030240800243517825
4,9,California,2019,39512223,117232,0.0029669806226797213
4,9,California,2020,39503200,110257,0.002791090342048239
4,9,California,2021,39145060,19360,0.0004945707070061969
4,9,California,2022,39040616,92613,0.0023722217907627277
5,8,Colorado,2012,5192647,21172,0.004077303926109362
5,8,Colorado,2013,5269035,20254,0.0038439676335420055
5,8,Colorado,2014,5350101,20452,0.0038227315708619335
5,8,Colorado,2015,5450623,21763,0.003992754589704699
5,8,Colorado,2016,5539215,21814,0.003938103142773841
5,8,Colorado,2017,5611885,22532,0.004015050201492012
5,8,Colorado,2018,5691287,22430,0.003941112089409653
5,8,Colorado,2019,5758736,21337,0.0037051533530969294
5,8,Colorado,2020,5785219,19658,0.003397969895348819
5,8,Colorado,2021,5811596,21026,0.003617939030861746
5,8,Colorado,2022,5841039,17372,0.0029741284042102785
6,1,Connecticut,2012,3594547,14713,0.004093144421258089
6,1,Connecticut,2013,3594841,14387,0.00400212415514344
6,1,Connecticut,2014,3594524,14612,0.004065072315555551
6,1,Connecticut,2015,3587122,14349,0.0040001427328091995
6,1,Connecticut,2016,3578141,14881,0.0041588634992304665
6,1,Connecticut,2017,3573297,14898,0.004169258810560667
6,1,Connecticut,2018,3571520,14353,0.00401873712032972
6,1,Connecticut,2019,3565287,13740,0.0038538271953982945
6,1,Connecticut,2020,3577586,11886,0.003322351999364935
6,1,Connecticut,2021,3603691,11718,0.0032516661389669645
6,1,Connecticut,2022,3608706,9995,0.0027696908531756256
7,5,Delaware,2012,915179,6125,0.006692679792696292
7,5,Delaware,2013,923576,6056,0.0065571214496695455
7,5,Delaware,2014,932487,6005,0.006439768061109699
7,5,Delaware,2015,941252,6059,0.006437170917033908
7,5,Delaware,2016,948921,5899,0.006216534358497704
7,5,Delaware,2017,956823,5751,0.006010516051558125
7,5,Delaware,2018,965479,5485,0.005681117869989922
7,5,Delaware,2019,973764,5376,0.0055208448864406574
7,5,Delaware,2020,991862,4687,0.0047254557589664695
7,5,Delaware,2021,1004881,4824,0.004800568425515061
7,5,Delaware,2022,1019459,4075,0.003997218132362361
8,5,District of Columbia,2012,634924,207,0.000326023272076658
8,5,District of Columbia,2013,650581,248,0.0003811977294141698
8,5,District of Columbia,2014,662328,252,0.0003804761387107294
8,5,District of Columbia,2015,675400,244,0.000361267397098016
8,5,District of Columbia,2016,685815,269,0.0003922340572895023
8,5,District of Columbia,2017,694906,253,0.00036407801918532867
8,5,District of Columbia,2018,701547,261,0.00037203494562730653
8,5,District of Columbia,2019,705749,251,0.00035565052164438063
8,5,District of Columbia,2020,670839,213,0.00031751284585422135
8,5,District of Columbia,2021,669037,345,0.0005156665475900436
8,5,District of Columbia,2022,670949,495,0.0007377609922661783
9,5,Florida,2012,19297822,1156,5.990313311004734e-05
9,5,Florida,2013,19545621,1165,5.960414355727045e-05
9,5,Florida,2014,19845911,1169,5.890382154792491e-05
9,5,Florida,2015,20209042,1204,5.957729218435985e-05
9,5,Florida,2016,20613477,1204,5.840838981216027e-05
9,5,Florida,2017,20963613,6560,0.0003129231588085508
9,5,Florida,2018,21244317,1150,5.413212389929975e-05
9,5,Florida,2019,21477737,7270,0.0003384900373814988
9,5,Florida,2020,21591299,11715,0.0005425796752664118
9,5,Florida,2021,21830708,5448,0.00024955672532471235
9,5,Florida,2022,22245521,9732,0.00043748132489232326
10,5,Georgia,2012,9901430,56698,0.0057262435829976074
10,5,Georgia,2013,9972479,54404,0.005455413844441287
10,5,Georgia,2014,10067278,53223,0.005286731924955286
10,5,Georgia,2015,10178447,52059,0.005114630945172677
10,5,Georgia,2016,10301890,52570,0.005102947129119025
10,5,Georgia,2017,10410330,54038,0.005190805670905726
10,5,Georgia,2018,10511131,52458,0.0049907093727592205
10,5,Georgia,2019,10617423,37482,0.0035302351615829944
10,5,Georgia,2020,10732390,28507,0.002656165122586861
10,5,Georgia,2021,10790385,38197,0.0035399107631470055
10,5,Georgia,2022,10913150,31747,0.0029090592542024988
11,8,Idaho,2012,1595324,11359,0.007120183736971299
11,8,Idaho,2013,1611206,11169,0.006932074483337327
11,8,Idaho,2014,1631112,11116,0.006814982662134789
11,8,Idaho,2015,1651059,11621,0.007038512857505395
11,8,Idaho,2016,1682380,11263,0.006694682533078139
11,8,Idaho,2017,1717715,11495,0.0066920298186835415
11,8,Idaho,2018,1750536,11509,0.006574557735459311
11,8,Idaho,2019,1787065,10103,0.005653403765391858
11,8,Idaho,2020,1849339,9436,0.005102363601265101
11,8,Idaho,2021,1904537,10237,0.005375059660169375
11,8,Idaho,2022,1938996,8515,0.004391447945225261
12,3,Illinois,2012,12882510,1410,0.00010945072039532669
12,3,Illinois,2013,12895129,1421,0.00011019664867253364
12,3,Illinois,2014,12884493,1426,0.00011067567811942619
12,3,Illinois,2015,12858913,1426,0.00011089584321785208
12,3,Illinois,2016,12820527,1419,0.00011068187758584338
12,3,Illinois,2017,12778828,1294,0.0001012612424237966
12,3,Illinois,2018,12723071,1313,0.00010319835517698518
12,3,Illinois,2019,12671821,1289,0.00010172176516697955
12,3,Illinois,2020,12790357,1397,0.00010922290910253717
12,3,Illinois,2021,12690341,21625,0.0017040519242154327
12,3,Illinois,2022,12582515,26516,0.0021073688368342895
13,3,Indiana,2012,6537703,27636,0.004227172754712167
13,3,Indiana,2013,6568713,26566,0.00404432344661732
13,3,Indiana,2014,6593644,28518,0.004325074268492506
13,3,Indiana,2015,6608422,28599,0.004327659462425372
13,3,Indiana,2016,6634304,29019,0.004374083551190901
